MaterialNumber,MaterialDescription
1009,Madagascar Vanilla Cloud - Rich classic vanilla with premium bean specks.
1005,Lavender Honey Haze - Subtle floral lavender & sweet honey ribbons in cream.
1010,"Golden Butterscotch Swirl - Smooth, intensely sweet butterscotch with thick sauce ripples."
1002,"Midnight Velvet Chocolate - Rich, ultra-dark cocoa flavor with a smooth, slightly bitter finish."
1011,"Ruby Raspberry Cheesecake - Tangy cheesecake base, tart raspberry swirls & graham pieces."
1008,Orchard Peach Crumble - Sweet peach flavor with buttery cinnamon crumble chunks.
1004,Pistachio River Ripple - Delicate pistachio flavor with nutty paste swirls.
1006,Espresso Caramel Crunch - Bold coffee flavor with caramel sauce & crunchy toffee pieces.
1001,"Alpine Strawberry Dream - Intense wild strawberry flavor, sweet yet slightly tart."
1003,"Tropical Sunrise Sorbet - Dairy-free mango, passionfruit & pineapple blend. Intensely fruity."
1007,Polar Mint Stracciatella - Crisp peppermint with fine dark chocolate flakes.
1012,"Forest Berry Fusion - Creamy blend of blueberry, blackberry & raspberry purees."
